"sample","sampleid","otu","Kingdom","Phylum","Class","Order","Family","Genus","pctseqs"
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV01148;seqs=39171;samples=713","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium XlVa",0.000588870350377858
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV01707;seqs=18148;samples=388","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerobacterium",0.00117774070075572
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV01780;seqs=16980;samples=267","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor",0.000392580233585239
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV01853;seqs=15704;samples=1224","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ercella",0.000294435175188929
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV02063;seqs=12820;samples=165","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerobacterium",0.00166846599273727
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV02207;seqs=11422;samples=400","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerobacterium",0.000883305525566788
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV02342;seqs=10176;samples=431","Bacteria","Firmicutes","Clostridia","Clostridiales","Gracilibacteraceae","Lutispora",0.000392580233585239
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV02588;seqs=7954;samples=70","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus",0.00579055844538227
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV03338;seqs=4459;samples=221","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium XlVa",0.000490725291981549
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV08937;seqs=514;samples=26","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cuneatibacter",0.000588870350377858
